0,1,2,3,4,5,6,7,8,9
133,1,2,0,0,0,0,0,0,0
0,149,0,0,0,0,0,0,0,0
0,0,101,0,0,0,1,0,1,0
0,0,0,43,0,0,1,0,1,0
0,0,0,0,139,0,0,0,0,1
1,1,1,0,0,13,1,0,0,1
4,1,0,0,1,0,140,0,0,0
0,1,1,1,0,0,1,25,0,0
0,0,0,0,2,0,1,0,139,0
1,1,2,0,1,0,0,0,0,87
