0,1,2,3,4,5,6,7,8,9
124,1,7,0,0,0,0,0,4,0
0,90,0,0,0,0,3,0,56,0
1,0,101,0,0,0,1,0,0,0
0,0,0,43,0,0,0,0,2,0
0,1,0,0,139,0,0,0,0,0
0,16,1,0,0,0,1,0,0,0
4,9,0,0,1,0,91,0,41,0
2,13,1,1,0,0,1,0,9,2
41,0,0,0,2,0,83,0,16,0
38,13,2,0,1,0,0,0,36,2
