Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.606,0.5806908727112996,0.606,0.5673030337020117
Decision Tree,0.931,0.93206451299464,0.931,0.9309189502755566
Random Forest,0.959,0.9590541089123856,0.959,0.9587421171165224
SVM,0.969,0.9694612390557038,0.969,0.9685390640746665
